County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10458,X085,Public School,No,74.0,0.0,74.0,0.0,"(40.858689, -73.894682)"
Bronx,10458,X205,Public School,No,86.0,0.0,86.0,0.0,"(40.855759, -73.881753)"
Bronx,10458,X209,Public School,No,71.0,0.0,71.0,0.0,"(40.856834, -73.897635)"
Bronx,10458,X283,Public School,No,52.0,0.0,52.0,0.0,"(40.860987, -73.891562)"
Bronx,10458,X435,Public School,No,159.0,0.0,159.0,0.0,"(40.859466, -73.888625)"
Bronx,10458,X444,Public School,No,36.0,0.0,36.0,0.0,"(40.861316, -73.893236)"
Bronx,10458,X660,Public School,No,89.0,0.0,89.0,0.0,"(40.855392, -73.882487)"
Bronx,10458,X832,Public School,No,8.0,0.0,8.0,0.0,"(40.851724, -73.886220)"
Bronx,10459,X039,Public School,No,59.0,0.0,59.0,0.0,"(40.817741, -73.897876)"
Bronx,10459,X060,Public School,No,93.0,0.0,93.0,0.0,"(40.820108, -73.898399)"
Bronx,10459,X075,Public School,No,71.0,0.0,71.0,0.0,"(40.822314, -73.888948)"
Bronx,10459,X084,Public School,No,149.0,0.0,149.0,0.0,"(40.830552, -73.886798)"
Bronx,10459,X099,Public School,No,58.0,0.0,58.0,0.0,"(40.827539, -73.896925)"
Bronx,10459,X116,Public School,No,159.0,0.0,159.0,0.0,"(40.822056, -73.894368)"
Bronx,10459,X134,Public School,No,131.0,0.0,131.0,0.0,"(40.831613, -73.894241)"
Bronx,10459,X136,Public School,No,114.0,0.0,114.0,0.0,"(40.831388, -73.897797)"
Bronx,10459,X150,Public School,No,121.0,0.0,121.0,0.0,"(40.824710, -73.894349)"
Bronx,10459,X392,Public School,No,99.0,0.0,99.0,0.0,"(40.820388, -73.892961)"
Bronx,10459,X401,Public School,No,126.0,0.0,126.0,0.0,"(40.823124, -73.898265)"
Bronx,10459,X965,Public School,No,28.0,0.0,28.0,0.0,"(40.817247, -73.897193)"
Bronx,10460,X034,Public School,No,134.0,0.0,134.0,0.0,"(40.850168, -73.883877)"
Bronx,10460,X061,Public School,No,78.0,0.0,78.0,0.0,"(40.836156, -73.892784)"
Bronx,10460,X066,Public School,No,87.0,0.0,87.0,0.0,"(40.831493, -73.886540)"
Bronx,10460,X098,Public School,No,78.0,0.0,78.0,0.0,"(40.836245, -73.890591)"
Bronx,10460,X102,Public School,No,204.0,0.0,204.0,0.0,"(40.838151, -73.866038)"
Bronx,10460,X129,Public School,No,197.0,0.0,197.0,0.0,"(40.846128, -73.886721)"
Bronx,10460,X167,Public School,No,130.0,0.0,130.0,0.0,"(40.839297, -73.879931)"
Bronx,10460,X864,Public School,No,43.0,0.0,43.0,0.0,"(40.853238, -73.882372)"
Bronx,10460,X973,Public School,No,66.0,0.0,66.0,0.0,"(40.836821, -73.887688)"
Bronx,10461,X012,Public School,No,110.0,0.0,110.0,0.0,"(40.840625, -73.844685)"
Bronx,10461,X071,Public School,No,101.0,0.0,101.0,0.0,"(40.845379, -73.829562)"
Bronx,10461,X108,Public School,No,66.0,0.0,66.0,0.0,"(40.854700, -73.853200)"
Bronx,10461,X405,Public School,No,174.0,0.0,174.0,0.0,"(40.839775, -73.839583)"
